system,inmate_tests,total_inmate_cases,total_inmate_deaths,latest_inmate_population,max_inmate_population_2020,total_officer_cases,total_officer_deaths,,Inmate IFR,Inmate Cases / Person,Inmate Tests/Case,min_wages,max_wages,pop_over_55,over55_index_score,imprisonment_rate_per_100k,imp_rate_index_score,over_10_years,over10_index_score,labor_requires_wages,labor_index_score,has_death_penalty,avg_cost_per_inmate,health_providers_pct_of_budget,INDEX_SCORE,,,,,,,,,,
Alabama,15505,1601,64,19144,21900,1019,3,,0.039975016,0.083629336,9.684572142,0.25,0.75,12.33%,0.50,419,0.52,18%,0.68,0,1,1," $14,780 ",22%,3.70,,,,,,,,,,
Alaska,27756,2428,5,5011,5143,85,0,,0.002059308,0.484534025,11.43163097,0.65,4.9,11.04%,0.37,244,0.20,9%,0.32,1,0,0," $52,633 ",6%,0.89,,,,,,,,,,
Arizona,43652,12229,44,38248,41674,2739,0,,0.003598005,0.319729136,3.569547796,0.2,0.8,9.38%,0.20,558,0.78,8%,0.28,1,0,1," $25,397 ",13%,2.26,,,,,,,,,,
Arkansas,0,11378,52,14729,15886,424,5,,0.004570223,0.772489646,0,0,0,11.08%,0.37,586,0.83,16%,0.60,0,1,1," $20,915 ",15%,3.80,,,,,,,,,,
California,121207,49511,217,110471,117767,16090,26,,0.004382864,0.448180971,2.448082244,0.3,0.95,13.07%,0.57,310,0.32,26%,1.00,1,0,0," $64,642 ",6%,1.90,,,,,,,,,,
Colorado,193165,9389,33,13346,16134,1834,0,,0.003514751,0.703506669,20.57354351,0.13,0.38,11.30%,0.40,341,0.38,13%,0.48,1,0,0," $39,303 ",6%,1.26,,,,,,,,,,
Connecticut,73559,4655,19,8839,10500,1571,0,,0.004081633,0.526643285,15.80214823,0.3,1.5,7.91%,0.06,245,0.20,14%,0.52,1,0,0," $62,159 ",8%,0.78,,,,,,,,,,
Delaware,12665,2020,13,4562,4562,514,1,,0.006435644,0.442788251,6.26980198,0.25,2,10.90%,0.36,382,0.46,14%,0.52,1,0,0," $39,080 ",24%,1.33,,,,,,,,,,
Florida,87677,18491,220,83622,96253,6097,7,,0.01189768,0.221126019,4.741604024,0.2,0.55,12.91%,0.56,444,0.57,18%,0.68,0,1,1," $19,069 ",18%,3.81,,,,,,,,,,
Georgia,11947,3717,94,47585,52000,1698,4,,0.025289212,0.078112851,3.214151197,0,0,10.95%,0.36,507,0.68,17%,0.64,0,1,1," $19,977 ",20%,3.69,,,,,,,,,,
Hawaii,7791,1432,9,2229,4111,99,0,,0.006284916,0.642440556,5.440642458,0.5,2.5,11.31%,0.40,215,0.15,,0.52,1,0,0," $29,425 ",5%,1.07,,,,,,,,,,
Idaho,29168,4115,6,7240,7240,387,0,,0.00145808,0.568370166,7.088213852,0.1,0.9,10.74%,0.34,475,0.63,9%,0.32,1,0,1," $22,182 ",21%,2.29,,,,,,,,,,
Illinois,477218,10894,86,30771,36910,4383,0,,0.007894254,0.354034643,43.80558105,0.3,2.25,8.39%,0.11,302,0.31,14%,0.52,1,0,0," $33,507 ",10%,0.93,,,,,,,,,,
Indiana,20228,3563,39,25476,26877,1571,4,,0.010945832,0.13985712,5.677238282,0.12,0.25,8.72%,0.14,399,0.49,12%,0.44,1,0,1," $18,065 ",18%,2.07,,,,,,,,,,
Iowa,44262,4935,19,7399,8519,806,2,,0.003850051,0.666982025,8.96899696,0.58,0.87,10.06%,0.27,293,0.29,12%,0.44,1,0,0," $37,908 ",,1.01,,,,,,,,,,
Kansas,43391,6202,16,8846,9986,1280,6,,0.002579813,0.701107845,6.996291519,0.25,3,10.92%,0.36,342,0.38,14%,0.52,1,0,1," $24,511 ",,2.26,,,,,,,,,,
Kentucky,26433,7898,48,9969,11563,1084,5,,0.006077488,0.792255994,3.346796657,0.13,0.33,7.90%,0.06,516,0.70,8%,0.28,1,0,1," $16,681 ",15%,2.04,,,,,,,,,,
Louisiana,14745,3195,37,13885,31609,925,6,,0.011580595,0.230104429,4.615023474,0.04,1,11.51%,0.42,680,1.00,20%,0.76,1,0,1," $16,251 ",5%,3.18,,,,,,,,,,
Maine,8246,169,1,1742,2370,45,0,,0.00591716,0.097014925,48.79289941,0.58,3.5,10.81%,0.35,146,0.02,8%,0.28,1,0,0,,,0.65,,,,,,,,,,
